Term name	P-D Coefficient
galacturan 1,4-alpha-galacturonidase activity	0.000
endoglycosylceramidase activity	0.000
difructose-anhydride synthase activity	0.000
cyclomaltodextrinase activity	0.000
beta-L-arabinosidase activity	0.000
glucuronosyl-disulfoglucosamine glucuronidase activity	0.000
lacto-N-biosidase activity	0.000
glycuronidase activity	0.000
alpha-glucuronidase activity	0.000
arabinan endo-1,5-alpha-L-arabinosidase activity	0.000
alpha-N-arabinofuranosidase activity	0.000
glucan 1,4-alpha-maltohydrolase activity	0.000
licheninase activity	0.000
acyl-glucuronidase activity	0.000
lambda-carrageenase activity	0.000
alpha-neoagaro-oligosaccharide hydrolase activity	0.000
alpha-agarase activity	0.000
iota-carrageenase activity	0.000
oligosaccharide reducing-end xylanase activity	0.000
fructan beta-(2,6)-fructosidase activity	0.000
fructan beta-(2,1)-fructosidase activity	0.000
oligoxyloglucan reducing-end-specific cellobiohydrolase activity	0.000
beta-galactofuranosidase activity	0.000
4-alpha-D-\{(1->4)-alpha-D-glucano}trehalose trehalohydrolase activity	0.000
glucuronoarabinoxylan endo-1,4-beta-xylanase activity	0.000
xylan alpha-1,2-glucuronosidase activity	0.000
3-deoxy-2-octulosonidase activity	0.000
polymannuronate hydrolase activity	0.000
glucan 1,4-alpha-maltotriohydrolase activity	0.000
mannan 1,4-mannobiosidase activity	0.000
glucan 1,4-alpha-maltohexaosidase activity	0.000
glycopeptide alpha-N-acetylgalactosaminidase activity	0.000
mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity	0.000
dextran 1,6-alpha-isomaltotriosidase activity	0.000
glucan 1,6-alpha-isomaltosidase activity	0.000
peptidoglycan beta-N-acetylmuramidase activity	0.000
kappa-carrageenase activity	0.000
exo-poly-alpha-galacturonosidase activity	0.000
beta-agarase activity	0.000
xylan 1,3-beta-xylosidase activity	0.000
2,6-beta-fructan 6-levanbiohydrolase activity	0.000
mycodextranase activity	0.000
glucan 1,4-alpha-maltotetraohydrolase activity	0.000
fucoidanase activity	0.000
beta-L-rhamnosidase activity	0.000
beta-D-fucosidase activity	0.000
hyaluronoglucuronidase activity	0.000
xylan endo-1,3-beta-xylosidase activity	0.000
dextranase activity	0.000
levanase activity	0.000
neopullulanase activity	0.000
endo-1,4-beta-xylanase activity	0.000
alpha-L-rhamnosidase activity	0.000
heparanase activity	0.000
galactosylgalactosylglucosylceramidase activity	0.000
3-deoxy-D-glycero-D-galacto-2-nonulosonic acid hydrolase activity	0.000
endo-alpha-(2,8)-sialidase activity	0.000
exo-alpha-(2->8)-sialidase activity	0.000
exo-alpha-(2->6)-sialidase activity	0.000
exo-alpha-(2->3)-sialidase activity	0.000
chitosanase activity	0.000
cellulose 1,4-beta-cellobiosidase activity	0.000
amylase activity	0.000
beta-amylase activity	0.000
alpha-amylase activity	0.000
glucosyl-N-acetylglucosamine glucosaminidase activity	0.000
endogalactosaminidase activity	0.000
chondroitin hydrolase activity	0.000
alpha-N-acetylgalactosaminidase activity	0.000
beta-N-acetylgalactosaminidase activity	0.000
beta-N-acetylglucosaminidase activity	0.000
alpha-N-acetylglucosaminidase activity	0.000
fucosidase activity	0.000
alpha-L-fucosidase activity	0.000
1,2-alpha-L-fucosidase activity	0.000
1,6-alpha-L-fucosidase activity	0.000
1,3-alpha-L-fucosidase activity	0.000
trehalase activity	0.000
alpha,alpha-phosphotrehalase activity	0.000
alpha,alpha-trehalase activity	0.000
maltose-6'-phosphate glucosidase activity	0.000
GDP-glucosidase activity	0.000
2-deoxyglucosidase activity	0.000
protein-glucosylgalactosylhydroxylysine glucosidase activity	0.000
beta-gentiobiose beta-glucosidase activity	0.000
esculin beta-glucosidase activity	0.000
4-methylumbelliferyl-beta-D-glucopyranoside beta-glucosidase activity	0.000
cellobiose glucosidase activity	0.000
glucan endo-1,4-beta-glucosidase activity	0.000
abscisic acid glucose ester beta-glucosidase activity	0.000
strictosidine beta-glucosidase activity	0.000
vicianin beta-glucosidase activity	0.000
steryl-beta-glucosidase activity	0.000
raucaffricine beta-glucosidase activity	0.000
prunasin beta-glucosidase activity	0.000
coniferin beta-glucosidase activity	0.000
amygdalin beta-glucosidase activity	0.000
glucan endo-1,6-beta-glucosidase activity	0.000
glucan endo-1,3-beta-D-glucosidase activity	0.000
glucan endo-1,3-beta-D-glucosidase activity involved in ascospore release from ascus	0.000
beta-apiosyl-beta-glucosidase activity	0.000
oligoxyloglucan beta-glycosidase activity	0.000
glucan endo-1,2-beta-glucosidase activity	0.000
glucan 1,4-beta-glucosidase activity	0.000
6-phospho-beta-glucosidase activity	0.000
glucan exo-1,3-beta-glucosidase activity	0.000
oligo-1,6-glucosidase activity	0.000
mannosyl-oligosaccharide glucosidase activity	0.000
alpha-glucosidase activity	0.000
glucan endo-1,3-alpha-glucosidase activity	0.000
starch alpha-glucosidase activity	0.000
dextrin alpha-glucosidase activity	0.000
glucan 1,6-alpha-glucosidase activity	0.000
branched-dextran exo-1,2-alpha-glucosidase activity	0.000
glucan 1,3-alpha-glucosidase activity	0.000
maltose alpha-glucosidase activity	0.000
glucan 1,4-alpha-glucosidase activity	0.000
galactan 1,3-beta-galactosidase activity	0.000
keratan-sulfate endo-1,4-beta-galactosidase activity	0.000
blood-group-substance endo-1,4-beta-galactosidase activity	0.000
capsular-polysaccharide endo-1,3-alpha-galactosidase activity	0.000
6-phospho-beta-galactosidase activity	0.000
arabinogalactan endo-1,4-beta-galactosidase activity	0.000
alpha-galactosidase activity	0.000
raffinose alpha-galactosidase activity	0.000
GDP-mannose mannosyl hydrolase activity	0.000
beta-mannosidase activity	0.000
mannan 1,3-beta-mannosidase activity	0.000
mannosylglycoprotein endo-beta-mannosidase activity	0.000
mannan endo-1,4-beta-mannosidase activity	0.000
mannoside alpha-1,4-mannosidase activity	0.000
mannan exo-1,2-1,6-alpha-mannosidase activity	0.000
mannan 1,2-(1,3)-alpha-mannosidase activity	0.000
mannosyl-oligosaccharide 1,3-alpha-mannosidase activity	0.000
mannosyl-oligosaccharide 1,6-alpha-mannosidase activity	0.000
mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity	0.000
mannan endo-1,6-alpha-mannosidase activity	0.000
glycoprotein endo-alpha-1,2-mannosidase activity	0.000
limit dextrinase activity	0.000
xylan 1,4-beta-xylosidase activity	0.000
cellulase activity	0.000
polygalacturonase activity	0.000
poly(ADP-ribose) glycohydrolase activity	0.000
chitinase activity	0.000
exochitinase activity	0.000
endochitinase activity	0.000
beta-glucuronidase activity	0.000
beta-fructofuranosidase activity	0.000
sucrose alpha-glucosidase activity	0.000
glucosylceramidase activity	0.000
galactosylceramidase activity	0.000
L-iduronidase activity	0.000
pimelyl-[acyl-carrier protein] methyl ester esterase activity	0.000
pheophytinase activity	0.000
all-trans-retinyl-ester hydrolase, 11-cis retinol forming activity	0.000
all-trans-retinyl-palmitate hydrolase, 11-cis retinol forming activity	0.000
4-O-methyl-glucuronoyl methylesterase activity	0.000
pectin acetylesterase activity	0.000
chitooligosaccharide deacetylase activity	0.000
brefeldin A esterase activity	0.000
prenylcysteine methylesterase activity	0.000
protein-glutamate methylesterase activity	0.000
D-aminoacyl-tRNA deacylase activity	0.000
D-leucyl-tRNA(Leu) deacylase activity	0.000
D-tyrosyl-tRNA(Tyr) deacylase activity	0.000
polyneuridine-aldehyde esterase activity	0.000
acyloxyacyl hydrolase activity	0.000
poly(3-hydroxyoctanoate) depolymerase activity	0.000
poly(3-hydroxybutyrate) depolymerase activity	0.000
cutinase activity	0.000
1,4-lactonase activity	0.000
xylono-1,4-lactonase activity	0.000
wax-ester hydrolase activity	0.000
uronolactonase activity	0.000
tropinesterase activity	0.000
triacetate-lactonase activity	0.000
tannase activity	0.000
steroid-lactonase activity	0.000
sinapine esterase activity	0.000
retinyl-palmitate esterase activity	0.000
phosphatidylinositol deacylase activity	0.000
phorbol-diester hydrolase activity	0.000
orsellinate-depside hydrolase activity	0.000
limonin-D-ring-lactonase activity	0.000
L-rhamnono-1,4-lactonase activity	0.000
L-arabinonolactonase activity	0.000
hydroxybutyrate-dimer hydrolase activity	0.000
fusarinine-C ornithinesterase activity	0.000
dihydrocoumarin hydrolase activity	0.000
deoxylimonate A-ring-lactonase activity	0.000
D-arabinonolactonase activity	0.000
chlorophyllase activity	0.000
chlorogenate hydrolase activity	0.000
cetraxate benzylesterase activity	0.000
cephalosporin-C deacetylase activity	0.000
bis(2-ethylhexyl)phthalate esterase activity	0.000
alpha-amino-acid esterase activity	0.000
acylcarnitine hydrolase activity	0.000
actinomycin lactonase activity	0.000
acetylsalicylate deacetylase activity	0.000
6-acetylglucose deacetylase activity	0.000
4-pyridoxolactonase activity	0.000
4-methyloxaloacetate esterase activity	0.000
3-oxoadipate enol-lactonase activity	0.000
2-pyrone-4,6-dicarboxylate lactonase activity	0.000
11-cis-retinyl-palmitate hydrolase activity	0.000
acetylalkylglycerol acetylhydrolase activity	0.000
5-(3,4-diacetoxybut-1-ynyl)-2,2'-bithiophene deacetylase activity	0.000
all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity	0.000
N-acetylgalactosaminoglycan deacetylase activity	0.000
methylumbelliferyl-acetate deacetylase activity	0.000
acetoxybutynylbithiophene deacetylase activity	0.000
lactonohydrolase activity	0.000
5-valerolactone hydrolase activity	0.000
acetylxylan esterase activity	0.000
Ser(Gly)-tRNA(Ala) hydrolase activity	0.000
Ser-tRNA(Thr) hydrolase activity	0.000
pheophoridase activity	0.000
L-ascorbate 6-phosphate lactonase activity	0.000
endosulfan lactone lactonase activity	0.000
short-chain carboxylesterase activity	0.000
acetylesterase activity	0.000
rhamnogalacturonan acetylesterase activity	0.000
acetylajmaline esterase activity	0.000
hormone-sensitive lipase activity	0.000
feruloyl esterase activity	0.000
pectinesterase activity	0.000
fatty-acyl-ethyl-ester synthase activity	0.000
butyrolactone hydrolase activity	0.000
3,4-dihydrocoumarin hydrolase activity	0.000
sulfolactone hydrolase activity	0.000
1-oxa-2-oxocycloheptane lactonase activity	0.000
6-phosphogluconolactonase activity	0.000
carboxymethylenebutenolidase activity	0.000
sterol esterase activity	0.000
juvenile-hormone esterase activity	0.000
gluconolactonase activity	0.000
cholinesterase activity	0.000
acetylcholinesterase activity	0.000
carboxylesterase activity	0.000
1-alkyl-2-acetylglycerophosphocholine esterase activity	0.000
aspartyl esterase activity	0.000
phosphoric triester hydrolase activity	0.000
diisopropyl-fluorophosphatase activity	0.000
diphosphoric monoester hydrolase activity	0.000
prenyl-diphosphatase activity	0.000
monoterpenyl-diphosphatase activity	0.000
guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity	0.000
triphosphoric monoester hydrolase activity	0.000
dGTPase activity	0.000
dihydrosphingosine-1-phosphate phosphatase activity	0.000
phosphatidylinositol phosphate 4-phosphatase activity	0.000
phosphatidylinositol-4-phosphate phosphatase activity	0.000
phosphatidylinositol-1,4,5-trisphosphate 5-phosphatase activity	0.000
phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity	0.000
phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity	0.000
phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity	0.000
phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity	0.000
inositol monophosphate phosphatase activity	0.000
inositol monophosphate 4-phosphatase activity	0.000
inositol monophosphate 3-phosphatase activity	0.000
inositol monophosphate 1-phosphatase activity	0.000
inositol-1,3,4,5,6-pentakisphosphate 3-phosphatase activity	0.000
inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity	0.000
inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity	0.000
inositol-1,4,5,6-tetrakisphosphate 6-phosphatase activity	0.000
inositol-1,3,4-trisphosphate 1-phosphatase activity	0.000
inositol-1,4,5-trisphosphate 5-phosphatase activity	0.000
inositol-1,3,4-trisphosphate 4-phosphatase activity	0.000
inositol-3,4-bisphosphate 4-phosphatase activity	0.000
inositol-4,5-bisphosphate 5-phosphatase activity	0.000
inositol-1,4-bisphosphate 1-phosphatase activity	0.000
inositol-hexakisphosphate phosphatase activity	0.000
inositol hexakisphosphate 2-phosphatase activity	0.000
phosphoethanolamine phosphatase activity	0.000
phosphocholine phosphatase activity	0.000
lysophosphatidic acid phosphatase activity	0.000
5-phytase activity	0.000
2-phosphosulfolactate phosphatase activity	0.000
mannosyl-3-phosphoglycerate phosphatase activity	0.000
glucosylglycerol 3-phosphatase activity	0.000
[pyruvate kinase]-phosphatase activity	0.000
[glycogen-synthase-D] phosphatase activity	0.000
[acetyl-CoA carboxylase]-phosphatase activity	0.000
thymidylate 5'-phosphatase activity	0.000
streptomycin-6-phosphatase activity	0.000
sorbitol-6-phosphatase activity	0.000
[phosphorylase] phosphatase activity	0.000
phosphoglycerate phosphatase activity	0.000
phosphoenolpyruvate phosphatase activity	0.000
N-acylneuraminate-9-phosphatase activity	0.000
myosin-light-chain-phosphatase activity	0.000
mannitol-1-phosphatase activity	0.000
glycerol-2-phosphatase activity	0.000
dolichyl-phosphatase activity	0.000
deoxynucleotide 3'-phosphatase activity	0.000
caldesmon-phosphatase activity	0.000
alkylacetylglycerophosphatase activity	0.000
ADP-phosphoglycerate phosphatase activity	0.000
3-phosphoglycerate phosphatase activity	0.000
2-carboxy-D-arabinitol-1-phosphatase activity	0.000
[3-methyl-2-oxobutanoate dehydrogenase (lipoamide)]-phosphatase activity	0.000
[hydroxymethylglutaryl-CoA reductase (NADPH)]-phosphatase activity	0.000
guanidinodeoxy-scyllo-inositol-4-phosphatase activity	0.000
methylphosphothioglycerate phosphatase activity	0.000
alpha-ribazole phosphatase activity	0.000
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity	0.000
glycerol-3-phosphatase activity	0.000
lipid phosphatase activity	0.000
sphingosine-1-phosphate phosphatase activity	0.000
bisphosphoglycerate phosphatase activity	0.000
bisphosphoglycerate 3-phosphatase activity	0.000
bisphosphoglycerate 2-phosphatase activity	0.000
D,D-heptose 1,7-bisphosphate phosphatase activity	0.000
10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase activity	0.000
pyridoxal phosphatase activity	0.000
XDP phosphatase activity	0.000
IDP phosphatase activity	0.000
polynucleotide 5'-phosphatase activity	0.000
galactose-1-phosphate phosphatase activity	0.000
D-galactose-1-phosphate phosphatase activity	0.000
L-galactose-1-phosphate phosphatase activity	0.000
sugar-terminal-phosphatase activity	0.000
glucose-6-phosphatase activity	0.000
sucrose-phosphate phosphatase activity	0.000
fructose-2,6-bisphosphate 6-phosphatase activity	0.000
glucose-1-phosphatase activity	0.000
fructose-2,6-bisphosphate 2-phosphatase activity	0.000
2-deoxyglucose-6-phosphatase activity	0.000
trehalose-phosphatase activity	0.000
NADP phosphatase activity	0.000
3-deoxy-manno-octulosonate-8-phosphatase activity	0.000
3-phytase activity	0.000
phosphatidylglycerophosphatase activity	0.000
4-phytase activity	0.000
3'(2'),5'-bisphosphate nucleotidase activity	0.000
3'-nucleotidase activity	0.000
GMP 5'-nucleotidase activity	0.000
IMP 5'-nucleotidase activity	0.000
phosphatidate phosphatase activity	0.000
[pyruvate dehydrogenase (lipoamide)] phosphatase activity	0.000
MAP kinase phosphatase activity involved in regulation of osmosensory signaling pathway	0.000
MAP kinase phosphatase activity involved in regulation of innate immune response	0.000
MAP kinase phosphatase activity involved in regulation of conjugation with cellular fusion	0.000
MAP kinase phosphatase activity involved in regulation of cell wall biogenesis	0.000
JUN kinase phosphatase activity	0.000
MAP kinase tyrosine phosphatase activity	0.000
protein tyrosine phosphatase activity, metal-dependent	0.000
protein tyrosine phosphatase activity, via thiol-phosphate intermediate	0.000
receptor signaling protein tyrosine phosphatase activity	0.000
myosin phosphatase activity	0.000
receptor signaling protein serine/threonine phosphatase activity	0.000
magnesium-dependent protein serine/threonine phosphatase activity	0.000
histidinol-phosphatase activity	0.000
aryldialkylphosphatase activity	0.000
alkaline phosphatase activity	0.000
thiamine phosphate phosphatase activity	0.000
4-nitrophenylphosphatase activity	0.000
cyclic-guanylate-specific phosphodiesterase activity	0.000
5'-tyrosyl-DNA phosphodiesterase activity	0.000
glucose-1-phospho-D-mannosylglycoprotein phosphodiesterase activity	0.000
dolichylphosphate-mannose phosphodiesterase activity	0.000
dolichylphosphate-glucose phosphodiesterase activity	0.000
glycerophosphoinositol glycerophosphodiesterase activity	0.000
glycerophosphoinositol inositolphosphodiesterase activity	0.000
glycerol-1,2-cyclic-phosphate 2-phosphodiesterase activity	0.000
CMP-N-acylneuraminate phosphodiesterase activity	0.000
alkylglycerophosphoethanolamine phosphodiesterase activity	0.000
glycerophosphocholine cholinephosphodiesterase activity	0.000
glycerophosphocholine phosphodiesterase activity	0.000
adenylyl-[glutamate-ammonia ligase] hydrolase activity	0.000
serine-ethanolaminephosphate phosphodiesterase activity	0.000
7,8-dihydro-D-neopterin 2',3'-cyclic phosphate phosphodiesterase activity	0.000
protein adenylylhydrolase activity	0.000
tyrosyl-RNA phosphodiesterase activity	0.000
[acyl-carrier-protein] phosphodiesterase activity	0.000
2',3'-cyclic-nucleotide 2'-phosphodiesterase activity	0.000
3',5'-cyclic-GMP phosphodiesterase activity	0.000
calcium- and calmodulin-regulated 3',5'-cyclic-GMP phosphodiesterase activity	0.000
photoreceptor cyclic-nucleotide phosphodiesterase activity	0.000
2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	0.000
S-succinylglutathione hydrolase activity	0.000
glutathione thiolesterase activity	0.000
[citrate-(pro-3S)-lyase] thiolesterase activity	0.000
3-isopropylbut-3-enoyl-CoA thioesterase activity	0.000
2,4,4-trimethyl-3-oxopentanoyl-CoA thioesterase activity	0.000
2-oxoglutaryl-CoA thioesterase activity	0.000
S-formylglutathione hydrolase activity	0.000
1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity	0.000
hydroxymethylglutaryl-CoA hydrolase activity	0.000
formyl-CoA hydrolase activity	0.000
long-chain acyl-CoA hydrolase activity	0.000
very long chain acyl-CoA hydrolase activity	0.000
medium-chain acyl-CoA hydrolase activity	0.000
glutaryl-CoA hydrolase activity	0.000
acetoacetyl-CoA hydrolase activity	0.000
(S)-methylmalonyl-CoA hydrolase activity	0.000
ADP-dependent medium-chain-acyl-CoA hydrolase activity	0.000
ADP-dependent short-chain-acyl-CoA hydrolase activity	0.000
choloyl-CoA hydrolase activity	0.000
bile-acid-CoA hydrolase activity	0.000
phenylacetyl-CoA hydrolase activity	0.000
4-hydroxybenzoyl-CoA thioesterase activity	0.000
succinyl-CoA hydrolase activity	0.000
acetyl-CoA hydrolase activity	0.000
palmitoyl-(protein) hydrolase activity	0.000
galactolipase activity	0.000
acylglycerol lipase activity	0.000
NAPE-specific phospholipase D activity	0.000
1-acyl-2-lysophosphatidylserine acylhydrolase activity	0.000
phosphatidylserine 1-acylhydrolase activity	0.000
cardiolipin hydrolase activity	0.000
glycosylphosphatidylinositol phospholipase D activity	0.000
inositol phosphosphingolipid phospholipase activity	0.000
inositol phosphorylceramide phospholipase activity	0.000
mannosyl-diinositol phosphorylceramide phospholipase activity	0.000
mannosyl-inositol phosphorylceramide phospholipase activity	0.000
phosphatidylcholine phospholipase C activity	0.000
phosphatidylglycerol phospholipase C activity	0.000
calcium-independent phospholipase A2 activity	0.000
lipoprotein lipase activity	0.000
enterochelin esterase activity	0.000
sulfuric ester hydrolase activity	0.000
monomethyl-sulfatase activity	0.000
glycosulfatase activity	0.000
disulfoglucosamine-6-sulfatase activity	0.000
D-lactate-2-sulfatase activity	0.000
choline-sulfatase activity	0.000
N-acetylgalactosamine-6-sulfatase activity	0.000
endosulfan sulfate hydrolase activity	0.000
endosulfan hemisulfate sulfatase activity	0.000
N-sulfoglucosamine-3-sulfatase activity	0.000
chondro-6-sulfatase activity	0.000
chondro-4-sulfatase activity	0.000
cellulose-polysulfatase activity	0.000
alkyl sulfatase activity	0.000
glucuronate-2-sulfatase activity	0.000
N-acetylglucosamine-6-sulfatase activity	0.000
steryl-sulfatase activity	0.000
iduronate-2-sulfatase activity	0.000
cerebroside-sulfatase activity	0.000
arylsulfatase activity	0.000
N-acetylgalactosamine-4-sulfatase activity	0.000
oligonucleotidase activity	0.000
ribonuclease T1 activity	0.000
oligoribonucleotidase activity	0.000
double-stranded RNA-specific ribonuclease activity	0.000
ribonuclease R activity	0.000
ribonuclease G activity	0.000
oligodeoxyribonucleotidase activity	0.000
exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters	0.000
exoribonuclease activity, producing 3'-phosphomonoesters	0.000
ribonuclease D activity	0.000
exoribonuclease II activity	0.000
exoribonuclease H activity	0.000
exodeoxyribonuclease X activity	0.000
exodeoxyribonuclease VII activity	0.000
exodeoxyribonuclease V activity	0.000
exodeoxyribonuclease III activity	0.000
exodeoxyribonuclease I activity	0.000
3'-5'-exodeoxyribonuclease activity	0.000
double-stranded DNA specific 3'-5' exodeoxyribonuclease activity	0.000
single-stranded DNA specific 3'-5' exodeoxyribonuclease activity	0.000
phosphodiesterase I activity	0.000
T/G mismatch-specific endonuclease activity	0.000
endoribonuclease activity involved in viral induction of host mRNA catabolic process	0.000
endoribonuclease activity, producing 3'-phosphomonoesters	0.000
rRNA endonuclease activity	0.000
ribonuclease V activity	0.000
ribonuclease F activity	0.000
ribonuclease U2 activity	0.000
Bacillus subtilis ribonuclease activity	0.000
ribonuclease T2 activity	0.000
Enterobacter ribonuclease activity	0.000
pancreatic ribonuclease activity	0.000
apurinic/apyrimidinic endoribonuclease activity	0.000
ribonuclease M5 activity	0.000
3'-tRNA processing endoribonuclease activity	0.000
ribonuclease IX activity	0.000
ribonuclease [poly-(U)-specific] activity	0.000
ribonuclease P4 activity	0.000
ribonuclease IV activity	0.000
RNA lariat debranching enzyme activity	0.000
bidentate ribonuclease III activity	0.000
site-specific endodeoxyribonuclease activity, specific for altered base	0.000
excinuclease cho activity	0.000
deoxyribonuclease (pyrimidine dimer) activity	0.000
5' deoxyribonuclease (pyrimidine dimer) activity	0.000
deoxyribonuclease II activity	0.000
apurinic/apyrimidinic endodeoxyribonuclease activity	0.000
deoxyribonuclease V activity	0.000
CC-preferring endodeoxyribonuclease activity	0.000
deoxyribonuclease IV (phage-T4-induced) activity	0.000
deoxyribonuclease I activity	0.000
restriction endodeoxyribonuclease activity	0.000
Type IV site-specific deoxyribonuclease activity	0.000
Type III site-specific deoxyribonuclease activity	0.000
Type II site-specific deoxyribonuclease activity	0.000
Type I site-specific deoxyribonuclease activity	0.000
excinuclease ABC activity	0.000
oligopeptidase activity	0.000
threonine-type peptidase activity	0.000
glutamic-type peptidase activity	0.000
eoxin E4 synthase activity	0.000
tripeptidase activity	0.000
dipeptidase activity	0.000
glutathione hydrolase activity	0.000
gamma-glutamyl-peptidase activity	0.000
pyroglutamyl-peptidase activity	0.000
peptidyl-dipeptidase activity	0.000
tripeptide aminopeptidase activity	0.000
metallodipeptidase activity	0.000
murein tripeptide carboxypeptidase activity	0.000
zinc D-Ala-D-Ala carboxypeptidase activity	0.000
serine-type exopeptidase activity	0.000
serine-type aminopeptidase activity	0.000
serine-type carboxypeptidase activity	0.000
peptidoglycan L,D-transpeptidase activity	0.000
serine-type D-Ala-D-Ala carboxypeptidase activity	0.000
tripeptidyl-peptidase activity	0.000
cysteine-type exopeptidase activity	0.000
cysteine-type aminopeptidase activity	0.000
cysteine-type carboxypeptidase activity	0.000
UFM1 hydrolase activity	0.000
APG8-specific protease activity	0.000
ISG15-specific protease activity	0.000
ATP-dependent peptidase activity	0.000
glutamic-type endopeptidase activity	0.000
threonine-type endopeptidase activity	0.000
cysteine-type endopeptidase activity involved in plant-type hypersensitive response	0.000
cysteine-type endopeptidase activity involved in apoptotic process	0.000
cysteine-type endopeptidase activity involved in execution phase of apoptosis	0.000
cysteine-type endopeptidase activity involved in apoptotic signaling pathway	0.000
small conjugating protein-specific endopeptidase activity	0.000
SUMO-specific endopeptidase activity	0.000
peptidase activity, acting on D-amino acid peptides	0.000
beta-alanyl-dopamine hydrolase activity	0.000
S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity	0.000
Kdo transferase activity	0.000
glucanosyltransferase activity	0.000
1,3-beta-glucanosyltransferase activity	0.000
transferase activity, transferring selenium-containing groups	0.000
tRNA 2-selenouridine synthase activity	0.000
L-seryl-tRNASec selenium transferase activity	0.000
transferase activity, transferring alkylthio groups	0.000
coenzyme-B sulfoethylthiotransferase activity	0.000
methylthiotransferase activity	0.000
aspartic acid methylthiotransferase activity	0.000
N6-threonylcarbomyladenosine methylthiotransferase activity	0.000
N6-isopentenyladenosine methylthiotransferase activity	0.000
thiazole synthase activity	0.000
thiosulfate-thiol sulfurtransferase activity	0.000
thiosulfate-dithiol sulfurtransferase activity	0.000
lipoate synthase activity	0.000
3-mercaptopyruvate sulfurtransferase activity	0.000
thiosulfate sulfurtransferase activity	0.000
biotin synthase activity	0.000
CoA-transferase activity	0.000
oxalate CoA-transferase activity	0.000
malonate CoA-transferase activity	0.000
citramalate CoA-transferase activity	0.000
5-hydroxypentanoate CoA-transferase activity	0.000
3-oxoadipate CoA-transferase activity	0.000
butyrate-acetoacetate CoA-transferase activity	0.000
succinate-citramalate CoA-transferase activity	0.000
succinate-hydroxymethylglutarate CoA-transferase activity	0.000
succinyl-CoA:(R)-citramalate CoA-transferase activity	0.000
propionyl-CoA:succinate CoA-transferase activity	0.000
cinnamoyl-CoA:phenyllactate CoA-transferase activity	0.000
2-hydroxyisocaproate CoA-transferase activity	0.000
2-naphthoate CoA-transferase activity	0.000
naphthyl-2-methyl-succinate CoA-transferase activity	0.000
geranylate CoA-transferase activity	0.000
succinyl-CoA:(R)-benzylsuccinate CoA-transferase activity	0.000
formyl-CoA transferase activity	0.000
glutaconate CoA-transferase activity	0.000
propionate CoA-transferase activity	0.000
citrate CoA-transferase activity	0.000
acetate CoA-transferase activity	0.000
4-hydroxybutyrate CoA-transferase activity	0.000
3-oxoacid CoA-transferase activity	0.000
flavonoid sulfotransferase activity	0.000
hydroxyjasmonate sulfotransferase activity	0.000
brassinosteroid sulfotransferase activity	0.000
proteoglycan sulfotransferase activity	0.000
galactose 3-O-sulfotransferase activity	0.000
N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase activity	0.000
steroid sulfotransferase activity	0.000
Renilla-luciferin sulfotransferase activity	0.000
psychosine sulfotransferase activity	0.000
flavonol 3-sulfotransferase activity	0.000
cortisol sulfotransferase activity	0.000
choline sulfotransferase activity	0.000
bile-salt sulfotransferase activity	0.000
arylsulfate sulfotransferase activity	0.000
amine sulfotransferase activity	0.000
UDP-N-acetylgalactosamine-4-sulfate sulfotransferase activity	0.000
quercetin-3,3'-bissulfate 7-sulfotransferase activity	0.000
quercetin-3-sulfate 4'-sulfotransferase activity	0.000
quercetin-3-sulfate 3'-sulfotransferase activity	0.000
desulfoglucosinolate sulfotransferase activity	0.000
indol-3-yl-methyl-desulfoglucosinolate sulfotransferase activity	0.000
8-methylthiooctyl-desulfoglucosinolate sulfotransferase activity	0.000
7-methylthioheptyl-desulfoglucosinolate sulfotransferase activity	0.000
5-methylthiopentyl-desulfoglucosinolate sulfotransferase activity	0.000
4-methylthiobutyl-desulfoglucosinolate sulfotransferase activity	0.000
3-methylthiopropyl-desulfoglucosinolate sulfotransferase activity	0.000
triglucosylalkylacylglycerol sulfotransferase activity	0.000
keratan sulfotransferase activity	0.000
1-hydroxypyrene sulfotransferase activity	0.000
heparan sulfate sulfotransferase activity	0.000
[heparan sulfate]-glucosamine 3-sulfotransferase 3 activity	0.000
[heparan sulfate]-glucosamine 3-sulfotransferase 2 activity	0.000
heparan sulfate 6-O-sulfotransferase activity	0.000
[heparan sulfate]-glucosamine N-sulfotransferase activity	0.000
[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity	0.000
